Players|%Owned|Tack|Tack Asst|Sack|Int|Force Fum|Pass Def|
J.J. Watt|85|67|20|15|0|4|13|
Robert Quinn|65|52|9|18|0|4|3|
Chandler Jones|41|51|30|12|0|4|3|
Greg Hardy|37|41|20|15|0|3|3|
DeMarcus Ware|36|43|14|13|0|4|2|
Jared Allen|27|31|11|11|1|3|4|
Cameron Wake|25|44|10|14|0|3|4|
Cameron Jordan|22|38|14|14|0|3|5|
Jason Pierre-Paul|21|44|14|12|0|2|3|
Muhammad Wilkerson|20|43|20|8|1|3|3|
Lamarr Houston|19|53|18|8|0|2|2|
Rob Ninkovich|19|52|31|7|0|3|2|
Calais Campbell|15|47|12|9|0|2|7|
Olivier Vernon|15|50|12|11|0|1|3|
Justin Tuck|14|42|19|8|0|2|4|
Carlos Dunlap|12|39|21|10|0|4|4|
Chris Long|10|34|6|12|0|2|2|
Charles Johnson|8|27|13|13|0|5|2|
Ziggy Ansah|6|33|14|13|1|3|3|
Everson Griffen|5|38|14|12|0|1|3|
Adrian Clayborn|4|39|12|9|0|3|2|
Michael Johnson|4|40|12|9|0|4|6|
Michael Bennett|3|32|14|9|0|2|2|
Cliff Avril|3|26|13|12|0|3|4|
Brian Robison|3|31|11|10|1|2|2|
Chris Clemons|1|32|8|10|0|2|2|
Fletcher Cox|1|32|8|7|0|2|5|
Corey Liuget|1|37|10|6|0|1|4|
Cameron Heyward|1|42|16|6|0|1|3|
George Selvie|1|33|11|8|0|1|1|
Damontre Moore|0|33|12|6|1|1|2|
Arthur Jones|0|35|17|6|0|1|1|
Dion Jordan|0|37|9|4|1|1|5|
Jeremy Mincey|0|34|10|5|0|2|3|
Wallace Gilberry|0|33|14|9|0|1|1
