Players|%Owned|FG Att|FG Made|20-29 Att|20-29 Made|30-39 Att|30-39 Made|40-49 Att|40-49 Made|50+ Att|50+ Made|PAT Made|
Stephen Gostkowski|100|36|30|7|7|13|11|12|10|3|2|54|
Justin Tucker|98|37|33|10|10|11|10|11|9|5|4|37|
Steven Hauschka|97|33|29|10|10|8|7|11|9|4|3|46|
Adam Vinatieri|95|34|29|10|10|9|8|12|10|3|1|44|
Mason Crosby|94|33|29|9|9|12|10|9|8|3|2|45|
Phil Dawson|93|35|31|14|14|10|9|9|7|2|1|47|
Dan Bailey|91|35|30|9|9|11|10|8|6|7|5|44|
Matt Prater|84|25|19|6|6|6|5|7|5|5|3|26|
Nick Novak|76|34|29|8|8|10|9|12|10|3|2|41|
Blair Walsh|64|34|30|6|6|11|10|12|10|5|4|37|
Dan Carpenter|51|34|30|10|10|10|9|9|8|4|3|33|
Robbie Gould|51|32|27|8|8|10|9|10|8|4|2|45|
Jay Feely|39|30|25|3|3|12|11|10|8|4|3|41|
Nick Folk|38|34|30|10|10|12|11|10|8|2|1|36|
Matt Bryant|28|32|28|9|9|8|7|10|8|5|4|46|
Shaun Suisham|27|32|26|6|6|9|8|9|7|8|5|37|
Graham Gano|24|32|27|8|8|9|8|9|8|5|3|36|
Alex Henery|20|29|25|7|7|8|7|11|9|3|2|52|
Shayne Graham|18|35|28|6|6|12|10|11|9|6|3|48|
Sebastian Janikowski|13|34|28|9|9|9|7|10|8|6|4|29|
Greg Zuerlein|11|33|28|8|8|7|7|12|9|6|4|38|
Ryan Succop|10|32|27|11|11|8|7|8|6|4|3|42|
Connor Barth|6|34|30|8|8|12|11|10|8|4|3|37|
Mike Nugent|4|29|24|6|6|10|9|9|7|4|2|41|
Josh Brown|4|30|26|7|7|9|8|11|9|3|2|35|
Josh Scobee|2|31|26|4|4|9|8|10|9|8|5|27|
Nate Freese|2|30|25|5|5|9|8|11|9|5|3|43|
Caleb Sturgis|2|34|28|7|7|10|9|11|9|5|3|35|
Billy Cundiff|1|28|24|4|4|9|8|9|8|6|4|34|
Kai Forbath|1|31|26|8|8|9|8|10|8|3|2|38|
Randy Bullock|1|33|26|5|5|10|9|11|8|7|4|28|
Maikon Bonani|0|30|24|8|8|8|7|9|7|5|2|33|
