Players|%Owned|Games|Rec|Rec Yds|Rec Tds|Rec 100 yds|
Jimmy Graham|100|16|91|1154|12|4|
Julius Thomas|100|16|78|894|10|2|
Vernon Davis|100|16|54|794|7|2|
Rob Gronkowski|100|15|81|1069|9|3|
Jason Witten|99|16|74|869|5|2|
Jordan Cameron|99|16|65|811|7|2|
Greg Olsen|98|16|60|747|5|1|
Kyle Rudolph|96|16|65|761|4|1|
Jordan Reed|93|16|68|753|6|1|
Dennis Pitta|92|16|63|719|6|1|
Zach Ertz|91|16|50|622|6|1|
Martellus Bennett|89|16|55|655|5|1|
Charles Clay|80|16|54|616|3|1|
Ladarius Green|74|16|45|601|4|0|
Heath Miller|66|15|58|638|4|1|
Antonio Gates|66|15|43|501|4|0|
Delanie Walker|59|16|43|516|5|0|
Tyler Eifert|58|16|48|543|4|0|
Garrett Graham|36|16|43|495|4|0|
Tim Wright|32|16|41|492|4|0|
Coby Fleener|31|16|40|481|4|0|
Eric Ebron|20|16|42|506|5|0|
Jared Cook|15|16|50|611|3|1|
Travis Kelce|11|16|43|492|5|0|
Brent Celek|9|16|21|247|2|0|
Dwayne Allen|8|16|41|460|5|0|
Owen Daniels|7|14|23|260|3|0|
Zach Miller|6|15|25|281|3|0|
Marcedes Lewis|5|16|34|402|4|0|
Richard Rodgers|3|16|27|324|3|0|
Jermaine Gresham|3|15|26|280|1|0|
Scott Chandler|3|16|29|344|4|0|
Andrew Quarless|2|16|25|279|1|0|
Austin Seferian-Jenkins|2|16|28|336|3|0|
Jace Amaro|2|16|25|406|2|0|
Brandon Pettigrew|2|16|32|351|2|0|
Mychal Rivera|1|16|33|389|4|0|
Levine Toilolo|1|16|38|416|5|0|
John Carlson|0|16|30|304|3|0|
Brandon Bostick|0|14|30|362|2|0|
Gavin Escobar|0|16|24|289|2|0|
Ryan Griffin|0|16|12|140|1|0
