Column1|name|pos|team|overallRank|positionRank|passAtt|passComp|passIncomp|passYds|passTds|passInt|rushAtt|rushYds|rushTds|rec|recYds|recTds|returnTds|twoPts|fumbles|cost|risk|sdPts|sdPick|passAttPts|passCompPts|passIncompPts|passYdsPts|passTdsPts|passIntPts|rushAttPts|rushYdsPts|rushTdsPts|recPts|recYdsPts|recTdsPts|twoPtsPts|fumblesPts|projectedPts|upside|projectedCost|
1|Peyton Manning|QB|DEN|1|1|640.0000333|432.0000894|207.1999811|5125|43.99994617|12.00002512|24.2205632|-0.500061761|0.819985864|0|0|0|0|1|4.249953306|48|3.861111529|18.14365925|8.4|0|0|0|205|175.9997847|-24.00005023|0|-0.050006176|4.919915183|0|0|0|2|-8.499906613|355.3697368|373.5133961|53|
2|Aaron Rodgers|QB|GB|3|3|553.525|365|186.6855797|4516.340038|35.50004685|9.99993811|48.99995908|221.9999773|1.999969133|0|0|0|0|0.8|3.25|38.7|3.48753607|15.8484448|6.9|0|0|0|180.6536015|142.0001874|-19.99987622|0|22.19999773|11.9998148|0|0|0|1.6|-6.5|331.9537252|347.80217|43|
3|Drew Brees|QB|NO|2|2|639.0000452|423.9999509|213.975|5002.499999|38.45004037|14.26997424|24.875|45.99995122|1.000017222|0|0|0|0|1|2.459981867|41.7|3.237638706|13.14825418|6.6|0|0|0|200.1|153.8001615|-28.53994847|0|4.599995122|6.000103331|0|0|0|2|-4.919963733|333.0403477|346.1886019|46|
4|Andrew Luck|QB|IND|4|4|595.045827|365.4499637|230.3750511|4317.499965|27.50002905|11.99994411|61.25384288|322|3.000053847|0|0|0|0|1|3.067729347|5.6|4.102002478|19.23821451|9.6|0|0|0|172.6999986|110.0001162|-23.99988821|0|32.2|18.00032308|0|0|0|2|-6.135458694|304.765091|324.0033055|7|
5|Jamaal Charles|RB|KC|16|1|0.08|0|0.07|0|0|0|257.15|1258.099959|9.999956558|67.29997465|587.4999326|3.99993847|0|0|2.499943956|64.8|3.248193323|22.39136864|1.1|0|0|0|0|0|0|0|125.8099959|59.99973935|0|58.74999326|23.99963082|0|-4.999887913|263.5594714|285.9508401|72|
6|Nick Foles|QB|PHI|6|6|522.4875|330.57|187.4021604|4095.5|28.50006149|11.49993526|62.75995762|249.5000254|2.499940512|0|0|0|0|0.8|3.699977663|3.5|4.102309731|11.95567585|14|0|0|0|163.82|114.0002459|-22.99987053|0|24.95000254|14.99964307|0|0|0|1.6|-7.399955326|288.9700657|300.9257416|4|
7|Matthew Stafford|QB|DET|5|5|641.1951883|387.4999751|255.5590374|4729.5|31.49993773|17.35000584|32.00003952|85.49997939|1.470031763|0|0|0|0|1|3.500015762|10.1|4.046318339|21.34106113|7.9|0|0|0|189.18|125.9997509|-34.70001169|0|8.549997939|8.820190579|0|0|0|2|-7.000031525|292.8498962|314.1909573|12|
8|Cam Newton|QB|CAR|7|7|477.8465722|288.9999858|188.162636|3457|22.40000978|13.49998421|105.7449915|580.0000228|5.499917264|0|0|0|0|0.6|2.655790786|8.3|5.2140309|9.121221967|24.3|0|0|0|138.28|89.6000391|-26.99996843|0|58.00000228|32.99950358|0|0|0|1.2|-5.311581572|287.767995|296.8892169|10|
9|Colin Kaepernick|QB|SF|9|9|470.0000427|278.5000636|188.2943528|3544.5|23.79996342|10.66997861|88.49997664|495.5|4.000029137|0|0|0|0|0.6|3.000036494|2.1|4.940176524|16.71304467|17.6|0|0|0|141.78|95.19985369|-21.33995721|0|49.55|24.00017482|0|0|0|1.2|-6.000072989|284.3899983|301.103043|3|
10|Robert Griffin III|QB|WAS|8|8|494.9|303.7499736|189.9999328|3731.5|23|12.5|94.3336268|546|3.499979611|0|0|0|0|1.15|3.910149597|4.9|4.981664951|14.09738584|19.5|0|0|0|149.26|92|-25|0|54.6|20.99987767|0|0|0|2.3|-7.820299194|286.3395785|300.4369643|6|
11|Russell Wilson|QB|SEA|12|12|440.0757023|280.1975|159.5000219|3531.44|25.50001898|10.20000455|87.5883645|476.5699615|2.729976691|0|0|0|0|0|3.500053547|2.1|9.490610015|75.093405|17.5|0|0|0|141.2576|102.0000759|-20.40000909|0|47.65699615|16.37986015|0|0|0|0|-7.000107094|279.894416|354.987821|3|
12|Tom Brady|QB|NE|11|11|627.9999846|391.1629009|233.7271746|4463.5|30.00003701|11.49996916|29.04828344|32.49991837|1.469982034|0|0|0|0|0|3.499963666|4.3|8.324884832|73.75933977|9.3|0|0|0|178.54|120.000148|-22.99993832|0|3.249991837|8.819892202|0|0|0|0|-6.999927333|280.6101664|354.3695062|5|
